EXECTIME 4 1 1 1 1574842
EXECTIME 4 1 1 2 2299025
EXECTIME 4 1 1 3 3022620
EXECTIME 4 1 1 4 3741204
EXECTIME 4 1 1 5 4461748
EXECTIME 4 1 1 6 5176724
EXECTIME 4 1 1 7 5899732
EXECTIME 4 1 1 8 6693884
EXECTIME 4 1 1 9 7483065
EXECTIME 4 1 1 10 8280090
EXECTIME 4 1 1 11 9066126
EXECTIME 4 1 1 0 8782379
EXECTIME 4 3 1 1 2381291
EXECTIME 4 3 1 2 3099420
EXECTIME 4 3 1 3 3819351
EXECTIME 4 3 1 4 4536802
EXECTIME 4 3 1 5 5254700
EXECTIME 4 3 1 6 5975780
EXECTIME 4 3 1 7 6690710
EXECTIME 4 3 1 8 7483678
EXECTIME 4 3 1 9 8269054
EXECTIME 4 3 1 10 9065494
EXECTIME 4 3 1 11 9853041
EXECTIME 4 3 1 0 9851206
EXECTIME 4 2 1 1 2376527
EXECTIME 4 2 1 2 3089693
EXECTIME 4 2 1 3 3810758
EXECTIME 4 2 1 4 4530301
EXECTIME 4 2 1 5 5250217
EXECTIME 4 2 1 6 5965328
EXECTIME 4 2 1 7 6685071
EXECTIME 4 2 1 8 7480875
EXECTIME 4 2 1 9 8264018
EXECTIME 4 2 1 10 9058560
EXECTIME 4 2 1 11 9844268
EXECTIME 4 2 1 0 9843073
EXECTIME 4 1 2 11 538416
EXECTIME 4 1 2 8 539117
EXECTIME 4 1 2 1 538381
EXECTIME 4 1 2 9 538813
EXECTIME 4 1 2 10 539106
EXECTIME 4 1 2 0 554862
EXECTIME 4 1 2 2 561468
EXECTIME 4 1 2 3 565455
EXECTIME 4 1 2 4 568026
EXECTIME 4 1 2 7 568038
EXECTIME 4 1 2 6 568320
EXECTIME 4 1 2 5 568412
EXECTIME 4 3 2 9 1921246
EXECTIME 4 3 2 11 1922386
EXECTIME 4 3 2 10 1922616
EXECTIME 4 3 2 8 1926741
EXECTIME 4 3 2 4 2117797
EXECTIME 4 3 2 7 2120317
EXECTIME 4 3 2 6 2123600
EXECTIME 4 3 2 0 2123423
EXECTIME 4 3 2 2 2128215
EXECTIME 4 3 2 1 2130885
EXECTIME 4 3 2 3 2130296
EXECTIME 4 3 2 5 2149207
EXECTIME 4 2 2 10 1920460
EXECTIME 4 2 2 9 1920303
EXECTIME 4 2 2 11 1925655
EXECTIME 4 2 2 8 1924655
EXECTIME 4 2 2 6 2146886
EXECTIME 4 2 2 5 2148885
EXECTIME 4 2 2 7 2152299
EXECTIME 4 2 2 4 2153307
EXECTIME 4 2 2 2 2154202
EXECTIME 4 2 2 1 2154627
EXECTIME 4 2 2 0 2153805
EXECTIME 4 2 2 3 2154493
